iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391534e+18,0.0,2.0402578876391534e+21,0.0,0.0,0.0,4194970252954136.5,0.0,1.6779881011816548e+19,0.0,1.0137893962757928e+24,0.0,0.0,-1.0,0.0,1.0137893962757928e+24,0.0,1.0137893962757928e+24,0.0,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,3.816497383200461e-24,2.279765024709004e-08,-7.419470509893387e-08,3.9562298958629825e-08,530.1945302641309,0.0
8640,1.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391534e+18,0.0,2.0402578876391534e+21,0.0,-7.452908903360367e-07,-7.452908903360367e-07,4194970251991252.5,-2.2953297447626196e-10,1.6779881037639789e+19,1.5389406023686958e-09,1.013789396275987e+24,1.9157139848715283e-13,868112953610826.1,0.0,868112953610864.2,1.0137893971441001e+24,8.56496658170696e-10,1.0137893971441001e+24,8.56496658170696e-10,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-1.037965591823866e-22,2.2797650247744843e-08,-7.420256453284298e-08,3.956299622811179e-08,530.1945302742832,1.91483459671309e-11
17280,2.0,1.0,1.0,1.0,1.0,1.0,2.040257887639152e+18,-6.27371670882806e-16,2.040257887639152e+21,-6.424285909839934e-16,6.975606083869934e-07,6.975606083869934e-07,4194970249071890.0,-9.254526887922713e-10,1.677988099416372e+19,-1.052023440903348e-09,1.0137893962761806e+24,3.824808363713784e-13,3472451814443294.5,2.9999999999999885,3472451814443326.5,1.0137893997486324e+24,3.4256025631409657e-09,1.0137893997486324e+24,3.4256025631409657e-09,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-3.9714552454747383e-22,2.279765024970919e-08,-7.421869027693737e-08,3.956518377034035e-08,530.1945303047395,7.659188289516642e-11
25920,3.0,1.0,1.0,1.0,1.0,1.0,2.040257887639154e+18,2.509486683531224e-16,2.040257887639154e+21,2.5697143639359734e-16,-1.8635764718055725e-06,-1.8635764718055725e-06,4194970251201214.5,-4.178627962297411e-10,1.6779881004744526e+19,-4.214584431808435e-10,1.0137893962763748e+24,5.740522348585312e-13,7813016582497397.0,7.9999999999999565,7813016582497320.0,1.0137894040893914e+24,7.707319303616255e-09,1.0137894040893914e+24,7.707319303616255e-09,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-8.882404521487472e-22,2.2797650252983077e-08,-7.423482303146728e-08,3.9567892211182724e-08,530.1945303554998,1.7233082520887186e-10
34560,4.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391534e+18,0.0,2.0402578876391534e+21,0.0,-1.080334186553955e-06,-1.080334186553955e-06,4194970249071580.0,-9.255265868133077e-10,1.677988100069911e+19,-6.625457575158606e-10,1.0137893962765693e+24,7.65888417586855e-13,1.3889807257773138e+16,14.999999999999908,1.3889807257773412e+16,1.0137894101663765e+24,1.3701646217635963e-08,1.0137894101663765e+24,1.3701646217635963e-08,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-1.5912213054266224e-21,2.2797650257566508e-08,-7.425096280100526e-08,3.9570601022863966e-08,530.1945304265632,3.0636367193489004e-10
43200,5.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391537e+18,1.254743341765612e-16,2.0402578876391537e+21,1.2848571819679867e-16,1.2794509530067444e-05,1.2794509530067444e-05,4194970251990071.0,-2.2981462128869596e-10,1.6779880859691454e+19,-9.065922087342103e-09,1.0137893962767631e+24,9.570626397122514e-13,2.1702823840270484e+16,23.999999999999805,2.1702823840270828e+16,1.0137894179795869e+24,2.1408582643239486e-08,1.0137894179795869e+24,2.1408582643239486e-08,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-2.477207030744297e-21,2.2797650263459484e-08,-7.426710959012777e-08,3.957465270450061e-08,530.1945305179302,4.786908519227516e-10
51840,6.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391534e+18,0.0,2.0402578876391534e+21,0.0,4.427507519721985e-06,4.427507519721985e-06,4194970252953095.5,-2.4815432225459005e-13,1.6779881011740221e+19,-4.548715926307813e-12,1.0137893962769575e+24,1.1487664303199896e-12,3.1252066329989456e+16,34.99999999999967,3.125206632998975e+16,1.0137894275290238e+24,3.082812963956379e-08,1.0137894275290238e+24,3.082812963956379e-08,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-3.570951702497358e-21,2.2797650270661994e-08,-7.428326340341532e-08,3.957898215295016e-08,530.194530629601,6.893132228715178e-10
60480,7.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391534e+18,0.0,2.0402578876391534e+21,0.0,-3.25031578540802e-07,-3.25031578540802e-07,4194970251991092.5,-2.2957111539034528e-10,1.6779881215541199e+19,1.2141006861284369e-08,1.0137893962771513e+24,1.3399406524453862e-12,4.253753472693005e+16,47.9999999999995,4.253753472692921e+16,1.013789438814686e+24,4.19602861474719e-08,1.013789438814686e+24,4.19602861474719e-08,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-4.858226648143098e-21,2.2797650279174057e-08,-7.429942424545233e-08,3.9583312548782606e-08,530.1945307615752,9.38229712657362e-10
69120,8.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391532e+18,-1.254743341765612e-16,2.0402578876391531e+21,-1.2848571819679867e-16,-7.074326276779175e-06,-7.074326276779175e-06,4194970249071978.0,-9.254317112895254e-10,1.6779880987549084e+19,-1.4462238848362886e-09,1.0137893962773461e+24,1.5321740115354662e-12,5.55592290310925e+16,62.99999999999957,5.555922903109139e+16,1.0137894518365752e+24,5.480505375566928e-08,1.0137894518365752e+24,5.480505375566928e-08,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-6.340925963036447e-21,2.2797650288995655e-08,-7.43155921208273e-08,3.9587643892308955e-08,530.1945309138526,1.2254403212802843e-09
77760,9.0,1.0,1.0,1.0,1.0,1.0,2.0402578876391524e+18,-5.018973367062448e-16,2.0402578876391524e+21,-5.139428727871947e-16,2.7883797883987427e-06,2.7883797883987427e-06,4194970251200939.0,-4.179284701161784e-10,1.6779881004483535e+19,-4.370122469185582e-10,1.0137893962775394e+24,1.7228186651785208e-12,7.031714924247662e+16,79.99999999999966,7.031714924247723e+16,1.0137894665946887e+24,6.936242981631351e-08,1.0137894665946887e+24,6.936242981631351e-08,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-8.035649393665242e-21,2.2797650300126786e-08,-7.433176703413267e-08,3.959197618384034e-08,530.1945310864344,1.550946764138407e-09
