iteration,day,mass,kinetic_energy,potential_energy,mechanical_energy
0.0,0.0,2.0402578876391532e+18,1.0137869986917767e+24,0.0,1.0137869986917767e+24
86400.0,1.0,2.0402578876391532e+18,1.013786998691886e+24,3223384943830092.5,1.0137870019152709e+24
172800.0,2.0,2.0402578876391532e+18,1.0137869986919955e+24,1.289353977532258e+16,1.0137870115855352e+24
259200.0,3.0,2.0402578876391532e+18,1.0137869986921046e+24,2.9010464494478624e+16,1.0137870277025691e+24
345600.0,4.0,2.0402578876391532e+18,1.013786998692214e+24,5.15741591012851e+16,1.0137870502663731e+24
432000.0,5.0,2.0402578876391532e+18,1.0137869986923233e+24,8.05846235957444e+16,1.0137870792769469e+24
518400.0,6.0,2.0402578876391532e+18,1.0137869986924328e+24,1.1604185797787411e+17,1.0137871147342907e+24
604800.0,7.0,2.0402578876391532e+18,1.013786998692542e+24,1.579458622476587e+17,1.0137871566384043e+24
691200.0,8.0,2.0402578876391532e+18,1.0137869986926512e+24,2.0629663640509002e+17,1.0137872049892875e+24
777600.0,9.0,2.0402578876391532e+18,1.0137869986927607e+24,2.6109418045017328e+17,1.0137872597869411e+24
864000.0,10.0,2.0402578876391532e+18,1.01378699869287e+24,3.223384943829144e+17,1.0137873210313645e+24
950400.0,11.0,2.0402578876391532e+18,1.0137869986929793e+24,3.900295782032794e+17,1.0137873887225576e+24
1036800.0,12.0,2.0402578876391532e+18,1.0137869986930884e+24,4.641674319113034e+17,1.0137874628605204e+24
