Williamson TC1 error table
error = MITgcm - exact

   day           L1           L2         Linf      RMSE[m]         mass
  0.00  2.05631e-08  2.34395e-08  3.04677e-08  1.61962e-06 -3.64766e-10
  1.00  6.31553e-05  1.14327e-04  6.88299e-04  7.89975e-03  4.18904e-08
  2.00  1.04865e-04  1.55709e-04  8.15347e-04  1.07592e-02  1.39158e-08
  3.00  1.50593e-04  1.94583e-04  9.31797e-04  1.34452e-02  4.67286e-08
  4.00  1.94714e-04  2.29915e-04  9.87835e-04  1.58866e-02  1.39157e-08
  5.00  2.32147e-04  2.61380e-04  1.11859e-03  1.80608e-02  4.18891e-08
  6.00  2.58041e-04  2.85398e-04  1.10058e-03  1.97204e-02 -3.65006e-10
  7.00  2.69889e-04  3.00918e-04  1.27370e-03  2.07928e-02  4.18904e-08
  8.00  2.74079e-04  3.12466e-04  1.29602e-03  2.15907e-02  1.39158e-08
  9.00  2.82540e-04  3.27573e-04  1.36787e-03  2.26345e-02  4.67285e-08
 10.00  3.01527e-04  3.47105e-04  1.38016e-03  2.39842e-02  1.39158e-08
 11.00  3.26170e-04  3.69825e-04  1.47337e-03  2.55540e-02  4.18891e-08
 12.00  3.49999e-04  3.92058e-04  1.42993e-03  2.70903e-02 -3.65213e-10
