iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970252954136.5,0.0,1.0137893962757928e+24,0.0,1.0137893962757928e+24,1987571085.8275487,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,3.816497383200461e-24,2.279765024709004e-08,-7.419470509893387e-08,3.9562298958629825e-08
8640,1.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970251991252.5,-2.2953297447626196e-10,1.0137893962759872e+24,868112953610826.1,1.0137893971441002e+24,1987571085.8279297,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-1.037965591823866e-22,2.2797650247744843e-08,-7.420256453284298e-08,3.956299622811179e-08
17280,2.0,2.040257887639152e+18,2.040257887639152e+21,4194970249071890.0,-9.254526887922713e-10,1.0137893962761811e+24,3472451814443294.5,1.013789399748633e+24,1987571085.82831,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-3.9714552454747383e-22,2.279765024970919e-08,-7.421869027693737e-08,3.956518377034035e-08
25920,3.0,2.040257887639154e+18,2.040257887639154e+21,4194970251201214.5,-4.178627962297411e-10,1.0137893962763759e+24,7813016582497397.0,1.0137894040893925e+24,1987571085.828692,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-8.882404521487472e-22,2.2797650252983077e-08,-7.423482303146728e-08,3.9567892211182724e-08
34560,4.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970249071580.0,-9.255265868133077e-10,1.0137893962765692e+24,1.3889807257773138e+16,1.0137894101663764e+24,1987571085.8290708,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-1.5912213054266224e-21,2.2797650257566508e-08,-7.425096280100526e-08,3.9570601022863966e-08
43200,5.0,2.0402578876391537e+18,2.0402578876391537e+21,4194970251990071.0,-2.2981462128869596e-10,1.0137893962767635e+24,2.1702823840270484e+16,1.0137894179795873e+24,1987571085.8294518,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-2.477207030744297e-21,2.2797650263459484e-08,-7.426710959012777e-08,3.957465270450061e-08
51840,6.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970252953095.5,-2.4815432225459005e-13,1.0137893962769581e+24,3.1252066329989456e+16,1.0137894275290245e+24,1987571085.8298333,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-3.570951702497358e-21,2.2797650270661994e-08,-7.428326340341532e-08,3.957898215295016e-08
60480,7.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970251991092.5,-2.2957111539034528e-10,1.013789396277151e+24,4.253753472693005e+16,1.0137894388146857e+24,1987571085.8302114,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-4.858226648143098e-21,2.2797650279174057e-08,-7.429942424545233e-08,3.9583312548782606e-08
69120,8.0,2.0402578876391532e+18,2.0402578876391531e+21,4194970249071978.0,-9.254317112895254e-10,1.0137893962773457e+24,5.55592290310925e+16,1.0137894518365748e+24,1987571085.8305933,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-6.340925963036447e-21,2.2797650288995655e-08,-7.43155921208273e-08,3.9587643892308955e-08
77760,9.0,2.0402578876391524e+18,2.0402578876391524e+21,4194970251200939.0,-4.179284701161784e-10,1.0137893962775401e+24,7.031714924247662e+16,1.0137894665946894e+24,1987571085.8309743,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-8.035649393665242e-21,2.2797650300126786e-08,-7.433176703413267e-08,3.959197618384034e-08
86400,10.0,2.0402578876391519e+18,2.0402578876391518e+21,4194970249071776.5,-9.254797450031991e-10,1.013789396277734e+24,8.68112953610823e+16,1.0137894830890294e+24,1987571085.8313546,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-9.9155093894351e-21,2.2797650312567477e-08,-7.43479489899649e-08,3.959630942368804e-08
95040,11.0,2.040257887639152e+18,2.040257887639152e+21,4194970251989907.0,-2.2985371572563136e-10,1.0137893962779285e+24,1.0504166738690966e+17,1.0137895013195959e+24,1987571085.8317358,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-1.1993063191838288e-20,2.2797650326317704e-08,-7.436413799292442e-08,3.9600643612163443e-08
103680,12.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970252952198.5,-4.619818218341937e-13,1.0137893962781219e+24,1.2500826531995899e+17,1.0137895212863872e+24,1987571085.832115,-9.826721830853502e-22,7.000870917626022e-06,-0.00015093916746907048,0.00012672731582047723,-1.4276700274769786e-20,2.2797650341377466e-08,-7.438033404761573e-08,3.960522391398744e-08
