iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,1.2048432670608335e+18,0.0,1.2048432670608335e+18,0.0,-3.237903177175688e+17,0.0,nan,nan,nan,nan,6.630347446462708e+20,0.0,1.814738938471768e+21,0.0,-7.704696397681723e+21,2.477773683118039e+21,0.0,-7.041661653035452e+21,0.0,5.543864203261679e-22,6.9975994728861645e-06,-1.2121082484111597e-05,1.2121082484111599e-05,3.971849755804019e-24,5.481936732570669e-08,-1.4458042750026475e-07,1.4458042750026475e-07,1230.6740726765183,0.0
1440,1.0,1.0,1.0,1.0,nan,1.0,1.2048432670608338e+18,2.1247576925461985e-16,1.2048432670608338e+18,2.1247576925461985e-16,-3.237903177175685e+17,256.0,nan,nan,nan,nan,6.630359125361356e+20,1.76143086640724e-06,1.8147374187197112e+21,-8.374494119854622e-07,-7.704697917433785e+21,2.477773331255847e+21,-1.4200739739719224e-07,-7.04166200489765e+21,-4.9968631721227134e-08,-1.4753206344126593e-21,6.997606753156297e-06,-1.2121107786512527e-05,1.2121107786519254e-05,4.233073544457347e-24,5.481935482211742e-08,-1.445803867144007e-07,1.445803867144727e-07,1230.673934031922,-1.1265744470364146e-07
2880,2.0,1.0,1.0,1.0,nan,1.0,1.204843267060834e+18,4.249515385092397e-16,1.204843267060834e+18,4.249515385092397e-16,-3.2379031771756883e+17,-64.0,nan,nan,nan,nan,6.630348634474135e+20,1.7917785395713528e-07,1.814738719089033e+21,-1.2088941859616847e-07,-7.704696617064466e+21,2.4777735825364463e+21,-4.05935349205791e-08,-7.041661753617053e+21,-1.4283787889820331e-08,3.4098530752050016e-22,6.9976005201763945e-06,-1.2121105371433423e-05,1.2121105371405664e-05,4.884795692940565e-24,5.481936171148075e-08,-1.4458039064470102e-07,1.4458039064469443e-07,1230.6740088974868,-5.1824469957406405e-08
4320,3.0,1.0,1.0,1.0,nan,1.0,1.204843267060834e+18,4.249515385092397e-16,1.204843267060834e+18,4.249515385092397e-16,-3.237903177175686e+17,192.0,nan,nan,nan,nan,6.63035809041815e+20,1.605339015479533e-06,1.8147375518486443e+21,-7.64089585809473e-07,-7.704697784304852e+21,2.4777733608904595e+21,-1.300472200440888e-07,-7.041661975263037e+21,-4.5760163017228925e-08,-5.190097652621267e-22,6.997606120987749e-06,-1.2121109459318899e-05,1.2121109459526061e-05,7.51753920110875e-24,5.481935556156726e-08,-1.4458038423545216e-07,1.4458038423539454e-07,1230.6739426012443,-1.0569433198335037e-07
5760,4.0,1.0,1.0,1.0,nan,1.0,1.2048432670608338e+18,2.1247576925461985e-16,1.2048432670608338e+18,2.1247576925461985e-16,-3.237903177175683e+17,448.0,nan,nan,nan,nan,6.63034948575899e+20,3.075700479154776e-07,1.8147386696803788e+21,-1.4811573370569058e-07,-7.704696666473116e+21,2.477773618256278e+21,-2.6177435556497533e-08,-7.041661717897217e+21,-9.211144723982018e-09,-3.536524323982697e-22,6.997600754034724e-06,-1.2121091858039424e-05,1.2121091857744026e-05,-5.5855530235942035e-24,5.481936472201732e-08,-1.4458041215912798e-07,1.4458041215959999e-07,1230.6740438870117,-2.3393282775575177e-08
7200,5.0,1.0,1.0,1.0,nan,1.0,1.2048432670608335e+18,0.0,1.2048432670608335e+18,0.0,-3.237903177175687e+17,64.0,nan,nan,nan,nan,6.630356503728361e+20,1.366031829552301e-06,1.8147377501777027e+21,-6.548016578022274e-07,-7.704697585975788e+21,2.477773400550539e+21,-1.1404088356774218e-07,-7.041661935602952e+21,-4.012795750525524e-08,-4.386705227941106e-22,6.997605170875799e-06,-1.2121107247486489e-05,1.2121107247002357e-05,6.044700638462681e-25,5.4819356790105885e-08,-1.4458038758853428e-07,1.4458038758865687e-07,1230.6739558551849,-9.492467261897523e-08
8640,6.0,1.0,1.0,1.0,nan,1.0,1.2048432670608338e+18,2.1247576925461985e-16,1.2048432670608338e+18,2.1247576925461985e-16,-3.237903177175687e+17,64.0,nan,nan,nan,nan,6.63035175200434e+20,6.493689307538728e-07,1.814738327898668e+21,-3.364523057886007e-07,-7.704697008254832e+21,2.477773503099102e+21,-7.265350263180112e-08,-7.041661833054398e+21,-2.5564838896046528e-08,1.4753206344126593e-21,6.9976023897966224e-06,-1.2121106273262058e-05,1.2121106273339583e-05,2.5159506197259126e-24,5.4819359484827664e-08,-1.4458038916044037e-07,1.4458038916035972e-07,1230.6739843795197,-7.174685860672977e-08
10080,7.0,1.0,1.0,1.0,nan,1.0,1.204843267060833e+18,-4.249515385092397e-16,1.204843267060833e+18,-4.249515385092397e-16,-3.2379031771756864e+17,128.0,nan,nan,nan,nan,6.630354532221958e+20,1.0686859635925858e-06,1.814738008349433e+21,-5.125378177204114e-07,-7.704697327804062e+21,2.477773461571629e+21,-8.941349704178843e-08,-7.041661874581866e+21,-3.146223505136716e-08,1.120641137835111e-21,6.997603937216494e-06,-1.2121101423047539e-05,1.2121101423025472e-05,2.300819902312779e-23,5.481935910048922e-08,-1.4458039704219968e-07,1.44580397042261e-07,1230.6739815142846,-7.407504208777517e-08
11520,8.0,1.0,1.0,1.0,nan,1.0,1.2048432670608343e+18,6.374273077638596e-16,1.2048432670608343e+18,6.374273077638596e-16,-3.237903177175686e+17,192.0,nan,nan,nan,nan,6.630353305006004e+20,8.835952177218848e-07,1.8147381802400172e+21,-4.178186376344863e-07,-7.704697155913476e+21,2.4777735107406175e+21,-6.956947785671517e-08,-7.041661825412876e+21,-2.4479651607339752e-08,2.622779559151156e-21,6.997603096580735e-06,-1.2121095175777056e-05,1.2121095175720649e-05,1.2472767246621373e-24,5.481936134987615e-08,-1.4458040689187673e-07,1.4458040689183544e-07,1230.674006451162,-5.381226249898254e-08
12960,9.0,1.0,1.0,1.0,nan,1.0,1.2048432670608338e+18,2.1247576925461985e-16,1.2048432670608338e+18,2.1247576925461985e-16,-3.2379031771756864e+17,128.0,nan,nan,nan,nan,6.630352654735589e+20,7.855203550531842e-07,1.8147382382899933e+21,-3.858305787222082e-07,-7.704697097863506e+21,2.477773503763552e+21,-7.2385338469e-08,-7.041661832389947e+21,-2.547047890167878e-08,2.9273611474283366e-21,6.9976028336308025e-06,-1.2121102870911767e-05,1.2121102870946356e-05,9.931853261426883e-24,5.4819360056505156e-08,-1.4458039463810847e-07,1.4458039463809974e-07,1230.6739917824186,-6.573153811099429e-08
