Williamson TC2 steady-state error norms
error = model - reference

               day             l1_eta             l2_eta           linf_eta               l1_u               l2_u             linf_u               l1_v               l2_v             linf_v
    0.00000000e+00     2.08177393e-08     2.38508923e-08     3.20494525e-08     4.42462474e-05     5.45700183e-05     1.09037374e-04     1.17181410e-05     4.20986873e-03     1.92965862e+00
    1.00000000e+00     4.51165531e-06     1.22581333e-05     6.83362475e-04     4.57772692e-05     1.95756102e-04     3.75144568e-02     2.51698795e-04     5.49946129e-03     5.11642374e+00
    2.00000000e+00     7.23535101e-06     2.31924304e-05     9.53650261e-04     4.92320144e-05     2.62497887e-04     4.06974135e-02     3.90225022e-04     6.22970639e-03     2.23836603e+00
    3.00000000e+00     9.97872053e-06     3.34369034e-05     1.11669844e-03     5.29831676e-05     3.02479735e-04     4.23399658e-02     4.82704678e-04     6.66533506e-03     4.41246411e+00
    4.00000000e+00     1.35597447e-05     4.20898202e-05     1.22952384e-03     5.66818508e-05     3.29599688e-04     4.34370647e-02     6.04836365e-04     6.99614022e-03     5.16549953e+00
    5.00000000e+00     1.81540084e-05     4.95931324e-05     1.29986680e-03     6.02470330e-05     3.47970977e-04     4.43168107e-02     7.18377907e-04     7.21177437e-03     3.64699368e+00
    6.00000000e+00     2.23772891e-05     5.62539927e-05     1.36321922e-03     6.43769718e-05     3.63262036e-04     4.43536696e-02     7.88309064e-04     7.26769039e-03     3.90406675e+00
    7.00000000e+00     2.74096832e-05     6.14548968e-05     1.40271871e-03     6.91684057e-05     3.75378399e-04     4.48521691e-02     8.69259516e-04     7.32051650e-03     2.49798622e+00
    8.00000000e+00     3.23566382e-05     6.63028318e-05     1.43154431e-03     7.54704602e-05     3.85500776e-04     4.63979954e-02     9.63026182e-04     7.40377411e-03     2.64800476e+00
    9.00000000e+00     3.71811301e-05     6.91542886e-05     1.44811327e-03     8.21248624e-05     3.86855099e-04     4.59596254e-02     1.02186794e-03     7.45327178e-03     2.76516706e+00
    1.00000000e+01     4.18421520e-05     7.11092087e-05     1.44097865e-03     8.78666197e-05     3.83369780e-04     5.16494042e-02     1.09651524e-03     7.51767730e-03     1.95413008e+00
    1.10000000e+01     4.57012734e-05     6.99847901e-05     1.29095666e-03     9.23527297e-05     3.50651051e-04     5.02839728e-02     1.16464657e-03     7.22927087e-03     2.95165490e+00
    1.20000000e+01     4.96351459e-05     6.84937745e-05     9.67686590e-04     9.58330739e-05     2.74856537e-04     4.99590543e-02     1.14171688e-03     5.83354280e-03     2.11126048e+00
