Williamson TC2 steady-state error norms
error = model - reference

               day             l1_eta             l2_eta           linf_eta               l1_u               l2_u             linf_u               l1_v               l2_v             linf_v
    0.00000000e+00     2.09281774e-08     2.38820351e-08     3.19721497e-08     2.28931788e-08     2.73724519e-08     4.91909425e-08     0.00000000e+00     0.00000000e+00     0.00000000e+00
    1.00000000e+00     3.59632616e-07     2.96341562e-07     2.23670877e-07     4.75469965e-07     5.28491732e-07     6.63846982e-07     3.51218801e-06     3.95044822e-06     6.38416161e-06
    2.00000000e+00     1.07133009e-07     9.13222995e-08     8.70450057e-08     1.26336850e-07     1.63991031e-07     2.79787851e-07     3.54983871e-06     4.10357644e-06     6.12843170e-06
    3.00000000e+00     3.26111492e-07     2.69599255e-07     2.08278297e-07     4.36640619e-07     4.82894635e-07     6.00733507e-07     5.82695636e-06     6.56191234e-06     9.55135804e-06
    4.00000000e+00     6.26310055e-08     5.33236620e-08     4.63242258e-08     8.96949999e-08     9.67725058e-08     1.39032495e-07     6.58266486e-06     7.24304708e-06     1.02719019e-05
    5.00000000e+00     2.70654578e-07     2.23056150e-07     1.65682390e-07     3.78465979e-07     4.20098848e-07     5.28849161e-07     7.33289138e-06     8.80845024e-06     1.39981837e-05
    6.00000000e+00     1.22106200e-07     1.03048917e-07     9.13441012e-08     2.16315280e-07     2.56984383e-07     3.71956785e-07     8.18840922e-06     9.12633213e-06     1.32798737e-05
    7.00000000e+00     2.10515499e-07     1.72899619e-07     1.25153513e-07     2.97643262e-07     3.31147510e-07     4.24812336e-07     8.99702473e-06     9.82800667e-06     1.35404739e-05
    8.00000000e+00     1.85490734e-07     1.53867694e-07     1.22076327e-07     2.36167884e-07     2.60204923e-07     3.42402669e-07     8.54736509e-06     9.50787530e-06     1.36180407e-05
    9.00000000e+00     1.44772947e-07     1.19932465e-07     7.75833091e-08     2.33330560e-07     2.62222124e-07     3.45415891e-07     7.86556763e-06     9.44125485e-06     1.48488452e-05
    1.00000000e+01     2.27886653e-07     1.88117283e-07     1.22788330e-07     3.56000322e-07     4.00962737e-07     5.16547546e-07     7.50014056e-06     8.48963768e-06     1.24899549e-05
    1.10000000e+01     9.35153248e-08     7.89294989e-08     6.10805278e-08     1.62346045e-07     1.82818843e-07     2.52217131e-07     7.09955960e-06     7.78113004e-06     1.08127377e-05
    1.20000000e+01     2.91364196e-07     2.41940140e-07     1.92793898e-07     3.65118585e-07     4.03098961e-07     5.12196262e-07     5.76221395e-06     6.28973040e-06     8.76924196e-06
