iteration,day,state_finite_fraction,nonfinite_state_values,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.0,0,1.2048432670608335e+18,1.2048432670608335e+18,nan,nan,6.630347446462708e+20,1.814738938471768e+21,2.477773683118039e+21,1299903.798756518,5.543864203261679e-22,6.9975994728861645e-06,-1.2121082484111597e-05,1.2121082484111599e-05,3.971849755804019e-24,5.481936732570669e-08,-1.4458042750026475e-07,1.4458042750026475e-07
1440,1.0,1.0,0,1.2048432670608333e+18,1.2048432670608333e+18,nan,nan,6.630342758575115e+20,1.8147395487106544e+21,2.4777738245681657e+21,1299902.8796790577,-7.586580737604703e-22,6.997596549624342e-06,-1.2121073621536303e-05,1.2121073621557131e-05,-1.2784809314978591e-24,5.481937235002757e-08,-1.4458044155069405e-07,1.445804415507082e-07
2880,2.0,1.0,0,1.2048432670608335e+18,1.2048432670608335e+18,nan,nan,6.630346966008716e+20,1.814739027379214e+21,2.4777737239800856e+21,1299903.7045617606,-5.032614478465213e-23,6.9975990484702884e-06,-1.212107482738015e-05,1.2121074827326374e-05,4.457743833674544e-24,5.481936959987207e-08,-1.4458043959060023e-07,1.4458043959045107e-07
4320,3.0,1.0,0,1.2048432670608333e+18,1.2048432670608333e+18,nan,nan,6.630343173948587e+20,1.8147394952077448e+21,2.477773812602604e+21,1299902.961114542,1.2468559136442385e-21,6.997596803668649e-06,-1.2121073468744927e-05,1.2121073468726228e-05,9.819518116818285e-24,5.4819372041928854e-08,-1.445804417180442e-07,1.4458044171810164e-07
5760,4.0,1.0,0,1.2048432670608343e+18,1.2048432670608343e+18,nan,nan,6.630346627805596e+20,1.8147390463431095e+21,2.477773709123669e+21,1299903.6382558052,9.471814097791671e-23,6.997598958732226e-06,-1.2121080402817474e-05,1.2121080402741088e-05,-2.999170051296233e-24,5.481936835813782e-08,-1.4458043072232533e-07,1.4458043072228295e-07
7200,5.0,1.0,0,1.204843267060834e+18,1.204843267060834e+18,nan,nan,6.630343810423246e+20,1.814739415708463e+21,2.4777737967507876e+21,1299903.0858977202,3.733264173435623e-21,6.997597184526087e-06,-1.212107421450809e-05,1.212107421460464e-05,1.1400234080239278e-23,5.481937155644414e-08,-1.445804406125496e-07,1.4458044061244823e-07
8640,6.0,1.0,0,1.2048432670608333e+18,1.2048432670608333e+18,nan,nan,6.630345715345941e+20,1.814739184298052e+21,2.477773755832646e+21,1299903.459364762,4.919637418744565e-22,6.997598298506898e-06,-1.2121074403128066e-05,1.2121074403042805e-05,-6.017954175460634e-25,5.481937049417072e-08,-1.4458044028616687e-07,1.4458044028611727e-07
10080,7.0,1.0,0,1.204843267060834e+18,1.204843267060834e+18,nan,nan,6.630344601842048e+20,1.814739312056074e+21,2.4777737722402785e+21,1299903.2410582628,1.5694681841798656e-21,6.997597679799003e-06,-1.212107650805983e-05,1.212107650804156e-05,6.007255590259815e-24,5.481937063209268e-08,-1.4458043687453818e-07,1.4458043687446324e-07
11520,8.0,1.0,0,1.2048432670608338e+18,1.2048432670608338e+18,nan,nan,6.630345095031838e+20,1.8147392428433678e+21,2.4777737523465515e+21,1299903.3377499199,1.9200394240402995e-21,6.997598018256735e-06,-1.2121078988038725e-05,1.2121078988048354e-05,-3.345090972789378e-24,5.481936972059427e-08,-1.445804329666512e-07,1.4458043296661983e-07
12960,9.0,1.0,0,1.2048432670608346e+18,1.2048432670608346e+18,nan,nan,6.630345354765388e+20,1.814739219875139e+21,2.4777737553516775e+21,1299903.3886716296,-2.5711981137029414e-21,6.997598122230733e-06,-1.212107595319262e-05,1.2121075953187272e-05,2.2698831601070776e-24,5.481937024777256e-08,-1.445804378010604e-07,1.4458043780099648e-07
14400,10.0,1.0,0,1.2048432670608335e+18,1.2048432670608335e+18,nan,nan,6.63034420798701e+20,1.814739374378136e+21,2.4777737951768373e+21,1299903.1638415463,-2.6063465322826982e-21,6.997597387756983e-06,-1.2121072418227868e-05,1.212107241813565e-05,9.13213401766567e-24,5.4819371752479366e-08,-1.4458044343780751e-07,1.445804434376634e-07
15840,11.0,1.0,0,1.2048432670608338e+18,1.2048432670608338e+18,nan,nan,6.630346045664279e+20,1.8147391287627463e+21,2.477773733329174e+21,1299903.5241248768,-3.1816165909208647e-22,6.997598558554901e-06,-1.21210774403213e-05,1.2121077440314355e-05,-6.979935294767601e-24,5.481936944837197e-08,-1.4458043536608074e-07,1.4458043536588994e-07
17280,12.0,1.0,0,1.2048432670608346e+18,1.2048432670608346e+18,nan,nan,6.630343775356104e+20,1.8147394122412432e+21,2.4777737897768533e+21,1299903.0790226792,1.5291844447037156e-22,6.997597205749839e-06,-1.2121076588207396e-05,1.2121076588171983e-05,2.9956038562292936e-25,5.481937101158776e-08,-1.445804368133452e-07,1.4458043681360994e-07
