iteration,day,state_finite_fraction,nonfinite_state_values,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.0,0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,6.630303572295869e+20,1.8147317450665207e+21,2.4777621022961073e+21,1299895.1970660933,4.0879294052329035e-23,9.252158303743282e-06,-0.0027749585047874407,0.0027749585047874407,5.1121406284579666e-24,3.463792918960994e-08,-9.760099316614016e-07,9.760099316614016e-07
86400,1.0,1.0,0,1.2048440355288223e+18,1.2048440355288223e+18,nan,nan,6.630269295319502e+20,1.814728063575096e+21,2.477754993107046e+21,1299888.4769398633,3.350530247358769e-10,9.049059624212298e-06,-0.005475753870455695,0.0032551733797555322,4.5297432072271304e-14,3.4631885624371704e-08,-1.7582855557305752e-06,1.12187530315935e-06
172800,2.0,1.0,0,1.2048440355288223e+18,1.2048440355288223e+18,nan,nan,6.630262634129352e+20,1.8147335261142484e+21,2.477759789527184e+21,1299887.17098924,6.996706552813952e-10,9.179967707086137e-06,-0.003842152242716746,0.0027737476542141967,2.548112177175712e-13,3.463607970188484e-08,-1.2193794347451773e-06,8.783831858722099e-07
259200,3.0,1.0,0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,6.630319787931725e+20,1.8147310961804593e+21,2.4777630749736315e+21,1299898.3762006438,2.717720753055938e-10,9.277113110109345e-06,-0.0054648519057499435,0.0035347743363793077,1.121590225853493e-13,3.463923412783032e-08,-1.755254485975729e-06,1.2301514469656808e-06
345600,4.0,1.0,0,1.204844035528823e+18,1.204844035528823e+18,nan,nan,6.630382599406892e+20,1.814727969536417e+21,2.4777662294771064e+21,1299910.6906194333,2.3587649768726617e-10,9.420236801128822e-06,-0.0027756246409535,0.002804206338414601,1.408862254498069e-13,3.4644593742724926e-08,-9.762371010514802e-07,9.729319667057323e-07
432000,5.0,1.0,0,1.204844035528823e+18,1.204844035528823e+18,nan,nan,6.630370308459548e+20,1.814732894800421e+21,2.477769925646376e+21,1299908.2809343794,-1.241054719687698e-10,9.432415173372398e-06,-0.002786846421169569,0.002777505316610222,4.995692912014157e-14,3.4646409670085746e-08,-9.799813402205892e-07,8.957435774423143e-07
518400,6.0,1.0,0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,6.63042786044406e+20,1.8147273428714772e+21,2.4777701289158834e+21,1299919.564210844,-2.028075284429849e-10,9.547103742011896e-06,-0.003500052612316101,0.0030950322411424174,-4.554167723767191e-14,3.465183381512476e-08,-1.1066616323482185e-06,1.0692495155297056e-06
604800,7.0,1.0,0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,6.630374782723018e+20,1.8147346933517797e+21,2.4777721716240815e+21,1299909.158130051,-2.3033695344000089e-10,9.78372818016569e-06,-0.00641243750284719,0.0037961579265447325,3.031703881955127e-14,3.466092571732051e-08,-2.0676407768721424e-06,1.3006677052726075e-06
691200,8.0,1.0,0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,6.630453899700336e+20,1.814726557860282e+21,2.477771947830316e+21,1299924.6693020058,1.4423812080044361e-10,9.968034179980608e-06,-0.0027840147890966617,0.0028630179377185775,-2.0860033907139317e-14,3.466801179209372e-08,-9.80720830389333e-07,9.066583984521624e-07
777600,9.0,1.0,0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,6.630402758175275e+20,1.8147349728731967e+21,2.477775248690724e+21,1299914.6428194968,2.625379521315242e-11,9.989222960323512e-06,-0.002763621015228178,0.004533554647225712,-4.206680282975319e-15,3.46699601448714e-08,-9.741016342361245e-07,1.5441440383486382e-06
864000,10.0,1.0,0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,6.630469869873552e+20,1.8147299280813173e+21,2.4777769150686723e+21,1299927.8003127107,-1.1358637193965661e-10,1.0185034163384102e-05,-0.008722226264163822,0.004806814354525112,-1.5165058291593193e-13,3.4677411250782906e-08,-2.8306829055263755e-06,1.6346385632306748e-06
950400,11.0,1.0,0,1.2048440355288223e+18,1.2048440355288223e+18,nan,nan,6.630492334217251e+20,1.8147324551807173e+21,2.4777816886024423e+21,1299932.2045292235,-1.1299446387369885e-10,1.0438494082985917e-05,-0.0034400520786026316,0.00287793975034304,-1.0129542903220687e-13,3.46869975968372e-08,-1.08733605076071e-06,9.098477841182468e-07
1036800,12.0,1.0,0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,6.630559041183833e+20,1.8147322800678358e+21,2.477788184186219e+21,1299945.2826733124,3.190583446013278e-11,1.1255535581240114e-05,-0.003281319038166192,0.0037834299509532125,-1.8424452343880216e-14,3.4718218909096345e-08,-1.0352337351247088e-06,1.2967189842120905e-06
