iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,1.2048432687628593e+18,0.0,1.2048432687628593e+18,0.0,-3.2379031601554304e+17,0.0,nan,nan,nan,nan,6.630347389358586e+20,0.0,1.814738907553391e+21,0.0,-7.704696378560547e+21,2.4777736464892496e+21,0.0,-7.041661639624689e+21,0.0,1.4938077896396745e-22,7.004151730824273e-06,-0.00015093926610094076,0.0001509392661009408,-4.084184900412617e-24,5.478310516938661e-08,-2.7036000711194135e-07,2.7036000711194135e-07,1229.6399125587054,0.0
8640,1.0,1.0,1.0,1.0,nan,1.0,1.204843268762859e+18,-2.1247576895446528e-16,1.204843268762859e+18,-2.1247576895446528e-16,-3.237903160155429e+17,128.0,nan,nan,nan,nan,6.642831937007602e+20,0.001882940201452007,1.8128705282361873e+21,-0.0010295581967339636,-7.706564757877746e+21,2.477153721936947e+21,-0.00025019418266104744,-7.042281564176986e+21,-8.803668566070648e-05,1.5035009844738408e-11,7.228456436782222e-06,-0.004598678831118647,0.0033806260017578294,9.330615466357488e-15,5.478292502183592e-08,-4.063305647275134e-06,3.218001395355733e-06,1229.8743363917774,0.00019064429405533196
17280,2.0,1.0,1.0,1.0,nan,1.0,1.20484326876286e+18,6.374273068633958e-16,1.20484326876286e+18,6.374273068633958e-16,-3.2379031601554285e+17,192.0,nan,nan,nan,nan,6.652529280421222e+20,0.0033455096332112508,1.8116574487920388e+21,-0.001698017686470651,-7.707777837321897e+21,2.476910376834161e+21,-0.00034840537444245174,-7.042524909279775e+21,-0.0001225945947513024,9.285016030475175e-12,8.242228928578366e-06,-0.0148344399201268,0.012218318048857162,9.911827846108785e-15,5.489832482315518e-08,-1.340965512704802e-05,1.1287617889531607e-05,1233.5202683853777,0.003155684674058595
25920,3.0,1.0,1.0,1.0,nan,1.0,1.2048432687628598e+18,4.2495153790893056e-16,1.2048432687628598e+18,4.2495153790893056e-16,-3.237903160155427e+17,320.0,nan,nan,nan,nan,6.635576622149315e+20,0.0007886815703083001,1.8140021756445217e+21,-0.00040597129747024975,-7.705433110469412e+21,2.477559837859453e+21,-8.629062226871043e-05,-7.04187544825448e+21,-3.0363377386409314e-05,1.6798496530520603e-11,7.904913984520305e-06,-0.01556771208719478,0.010987238092854876,1.6100429963010603e-14,5.488430860814209e-08,-1.408271490291116e-05,1.0166412626584148e-05,1232.7179657706185,0.002503215112388585
34560,4.0,1.0,1.0,1.0,nan,1.0,1.20484326876286e+18,6.374273068633958e-16,1.20484326876286e+18,6.374273068633958e-16,-3.2379031601554285e+17,192.0,nan,nan,nan,nan,6.658561814608095e+20,0.004255346453610024,1.8109931047011882e+21,-0.0020641001505019557,-7.708442181412752e+21,2.476849286161998e+21,-0.00037306084377869203,-7.042585999951943e+21,-0.00013127019935925952,8.391558549698382e-12,8.290236398921887e-06,-0.016746656398608315,0.01662637490682494,2.6702068212364247e-16,5.490310507757418e-08,-1.5153272094116639e-05,1.530968790787277e-05,1233.682526037991,0.0032876400952808124
43200,5.0,1.0,1.0,1.0,nan,1.0,1.2048432687628595e+18,2.1247576895446528e-16,1.2048432687628595e+18,2.1247576895446528e-16,-3.237903160155429e+17,128.0,nan,nan,nan,nan,6.638585238193221e+20,0.001242446036516365,1.8136317315458282e+21,-0.000610102094000603,-7.705803554568106e+21,2.4774902553651503e+21,-0.00011437329011099841,-7.041945030748784e+21,-4.0244922093446604e-05,8.637718565286109e-12,8.014674708503445e-06,-0.012248473421088221,0.010987773087361132,8.904699319256734e-15,5.489442644948249e-08,-1.1045592623913516e-05,1.0161011776078649e-05,1233.0849577971394,0.0028016699874887185
51840,6.0,1.0,1.0,1.0,nan,1.0,1.2048432687628598e+18,4.2495153790893056e-16,1.2048432687628598e+18,4.2495153790893056e-16,-3.237903160155428e+17,256.0,nan,nan,nan,nan,6.65147671091063e+20,0.003186759352301206,1.8117829564081166e+21,-0.0016288575359082857,-7.707652329705818e+21,2.4769306274991796e+21,-0.0003402324466823178,-7.042504658614754e+21,-0.00011971875861252244,2.2863439027311557e-12,8.210714718816163e-06,-0.015421325625073824,0.012624594542313412,2.8893488020030493e-15,5.4894941425935514e-08,-1.3943435020970415e-05,1.1656827746407134e-05,1233.4142556105423,0.003069470186587431
60480,7.0,1.0,1.0,1.0,nan,1.0,1.2048432687628595e+18,2.1247576895446528e-16,1.2048432687628595e+18,2.1247576895446528e-16,-3.237903160155428e+17,256.0,nan,nan,nan,nan,6.646529936419597e+20,0.002440678611649047,1.81235257247377e+21,-0.00131497433029535,-7.707082713640165e+21,2.47700556611573e+21,-0.0003099881115484604,-7.042429719998206e+21,-0.00010907658061770506,-2.6465258963808014e-12,8.040686409736258e-06,-0.009494404616774546,0.005386885778351292,-6.051596846676919e-15,5.487576631578597e-08,-8.538069957512658e-06,5.053066186658196e-06,1232.754388663829,0.0025328358922921627
69120,8.0,1.0,1.0,1.0,nan,1.0,1.20484326876286e+18,6.374273068633958e-16,1.20484326876286e+18,6.374273068633958e-16,-3.237903160155426e+17,448.0,nan,nan,nan,nan,6.62566785937771e+20,-0.0007057744799898408,1.8152069747756808e+21,0.00025792537997708457,-7.704228311338253e+21,2.477773760713452e+21,4.6099530687208635e-08,-7.041661525400482e+21,1.6221200810389406e-08,3.933806331293657e-11,8.059508230127056e-06,-0.010840789844082443,0.010510087143426062,3.706026645874622e-14,5.491015996787815e-08,-9.763417807459079e-06,9.727792519457234e-06,1233.410457900242,0.003066381713074458
77760,9.0,1.0,1.0,1.0,nan,1.0,1.2048432687628595e+18,2.1247576895446528e-16,1.2048432687628595e+18,2.1247576895446528e-16,-3.2379031601554266e+17,384.0,nan,nan,nan,nan,6.648193744711013e+20,0.0026916169401726246,1.812056476683969e+21,-0.001478135977719445,-7.707378809429967e+21,2.47687585115507e+21,-0.0003623395282501835,-7.042559434958866e+21,-0.0001274976532704973,4.430522005799027e-11,7.758998165874136e-06,-0.004854311699977566,0.006377317135346992,3.639620285908267e-14,5.4838917117269556e-08,-4.299214910094501e-06,5.956326587913761e-06,1231.65075918186,0.0016353133975378496
86400,10.0,1.0,1.0,1.0,nan,1.0,1.2048432687628593e+18,0.0,1.2048432687628593e+18,0.0,-3.237903160155429e+17,128.0,nan,nan,nan,nan,6.642574624237288e+20,0.0018441318622801565,1.812854409428264e+21,-0.0010384403603643187,-7.706580876685672e+21,2.4771118718519927e+21,-0.0002670843796383903,-7.042323414261943e+21,-9.39798972347469e-05,2.8124785506119926e-12,7.571890341117537e-06,-0.006160555933406545,0.004714857348656676,2.5846954931825075e-15,5.482619042140233e-08,-5.488086226124796e-06,4.435136524049631e-06,1231.1706685467746,0.0012448815075332472
95040,11.0,1.0,1.0,1.0,nan,1.0,1.2048432687628598e+18,4.2495153790893056e-16,1.2048432687628598e+18,4.2495153790893056e-16,-3.237903160155429e+17,128.0,nan,nan,nan,nan,6.640871176805687e+20,0.0015872150928307684,1.8132460270321887e+21,-0.0008226420423282382,-7.706189259081747e+21,2.4773331447127574e+21,-0.00017778128244943245,-7.042102141401178e+21,-6.255650995928823e-05,4.330522384837955e-11,7.480292606520494e-06,-0.005803712842313405,0.0050939554628080886,3.882709950008536e-14,5.482513274279899e-08,-5.16013763615882e-06,4.778845631079341e-06,1231.0823248969991,0.001173036369071863
