Williamson TC2 steady-state error norms
error = model - reference

               day             l1_eta             l2_eta           linf_eta               l1_u               l2_u             linf_u               l1_v               l2_v             linf_v
    0.00000000e+00     9.25756231e-01     9.28975595e-01     9.99434934e-01     1.75166800e+00     1.73721553e+00     2.02630881e+00     2.87663142e+01     3.52105979e+01     7.72062238e+01
    1.00000000e+00     8.05747110e-01     7.10667609e-01     9.66497573e-01     1.72983115e+00     1.68722986e+00     2.64259321e+00     2.66895655e+01     3.10714572e+01     9.80088821e+01
    2.00000000e+00     8.04772124e-01     7.01251386e-01     7.46122005e-01     1.61691437e+00     1.58367040e+00     2.43731099e+00     2.53099102e+01     2.98178194e+01     9.63965524e+01
    3.00000000e+00     8.08123137e-01     6.97933325e-01     7.38632757e-01     1.49017183e+00     1.47598376e+00     2.64171230e+00     2.73110678e+01     3.21264430e+01     1.00229926e+02
    4.00000000e+00     7.71754724e-01     6.74530207e-01     7.24675405e-01     1.60094661e+00     1.59421518e+00     3.25630752e+00     2.73955586e+01     3.21983921e+01     1.02721378e+02
    5.00000000e+00     7.78591279e-01     6.84207653e-01     7.30892019e-01     1.46041350e+00     1.44342014e+00     2.62552842e+00     2.79678271e+01     3.28071300e+01     9.23049905e+01
    6.00000000e+00     8.18756720e-01     7.11274034e-01     7.30844733e-01     1.46263413e+00     1.44936474e+00     2.44056846e+00     2.68657157e+01     3.16621722e+01     9.45694430e+01
    7.00000000e+00     8.27681830e-01     7.20214913e-01     7.22578861e-01     1.41377128e+00     1.39681618e+00     2.39040962e+00     2.61334970e+01     3.10223148e+01     9.76837942e+01
    8.00000000e+00     8.07964184e-01     7.02285219e-01     7.04721626e-01     1.48208270e+00     1.46626986e+00     2.27017022e+00     2.68168458e+01     3.21021352e+01     1.13818542e+02
    9.00000000e+00     7.66111350e-01     6.69945918e-01     6.98851248e-01     1.46973933e+00     1.45531868e+00     2.30134470e+00     2.76329856e+01     3.24901582e+01     1.07254729e+02
    1.00000000e+01     7.84791477e-01     6.87137210e-01     7.34411299e-01     1.49252939e+00     1.49139145e+00     2.68733143e+00     2.87523096e+01     3.36816323e+01     9.34540848e+01
    1.10000000e+01     8.37982593e-01     7.30379230e-01     7.55163323e-01     1.44534769e+00     1.44099636e+00     2.48715353e+00     2.87311012e+01     3.31966588e+01     8.89741605e+01
    1.20000000e+01     8.56988197e-01     7.43583410e-01     7.95890861e-01     1.43146170e+00     1.41635707e+00     2.48086017e+00     2.67526747e+01     3.15318438e+01     9.57982930e+01
