iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,6.630303572295869e+20,1.8147317450665207e+21,2.4777621022961073e+21,1299895.1970660933,4.0879294052329035e-23,9.252158303743282e-06,-0.0027749585047874407,0.0027749585047874407,5.1121406284579666e-24,3.463792918960994e-08,-9.760099316614016e-07,9.760099316614016e-07
115200,1.0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,9.049549432835584e+20,1.424410065238142e+21,2.3293650085217003e+21,1774197.1713795664,8.986342319849449e-12,1.6127988600042713e-05,-0.011219021142076114,0.011440153799767153,-8.246751486463801e-14,3.6019719566046245e-08,-3.910661704736486e-06,4.091860734502863e-06
230400,2.0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,7.445872368187824e+20,1.6522573677235423e+21,2.3968446045423246e+21,1459790.4340031603,-3.194919278826991e-11,1.4593414596124502e-05,-0.012607449394015003,0.009696680198473702,-3.003084061469122e-13,3.428588199638617e-08,-4.214715087729365e-06,3.3423786405446307e-06
345600,3.0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,7.003947540412022e+20,1.6719190890550303e+21,2.3723138430962327e+21,1373149.4597511913,2.1757874438243014e-11,1.4418433101859762e-05,-0.011327313791743161,0.013833890915572137,-2.94444215017516e-13,3.6255765489415146e-08,-4.203215168608564e-06,5.255158777811609e-06
460800,4.0,1.2048440355288233e+18,1.2048440355288233e+18,nan,nan,7.007273731862599e+20,1.676033727828711e+21,2.376761101014971e+21,1373801.571716199,-4.5584577196589245e-12,1.6676529697603943e-05,-0.0013601687881925196,0.0012322571562448296,-1.347435089360491e-11,3.403457152414275e-08,-5.276181191146689e-07,4.3410929949816063e-07
576000,5.0,1.204844035528822e+18,1.204844035528822e+18,nan,nan,8.166418849179721e+20,1.4715437010536382e+21,2.2881855859716103e+21,1601056.1995433518,-1.0063527773014693e-12,1.5181249771706318e-05,-0.0016284098101889389,0.0018274027699971816,-5.5771202472269934e-12,3.562721614295393e-08,-6.12032731623751e-07,6.761471049529523e-07
691200,6.0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,6.934946498928572e+20,1.5922747496164997e+21,2.285769399509357e+21,1359621.5539111518,6.882481687071773e-12,1.4470538418926497e-05,-0.0019769330373045767,0.00220136377614689,-5.410523986212434e-12,3.4407832180340844e-08,-6.223168219120193e-07,7.977593802794694e-07
806400,7.0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,7.143327081697259e+20,1.545417802082033e+21,2.259750510251759e+21,1400475.3271583782,-1.6998168104091874e-11,1.6638235811143086e-05,-0.0009666736278917738,0.0008515699676525688,-1.9288436982139363e-12,3.46112973491152e-08,-3.9559424541144366e-07,2.976329078644988e-07
921600,8.0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,6.754193870007846e+20,1.55119260956387e+21,2.2266119965646547e+21,1324184.3417791345,-1.075702902006312e-11,1.2281161001769303e-05,-0.001098184274713609,0.001011746645305961,-3.652947577104138e-13,3.439105899582094e-08,-4.5071379104239784e-07,3.763015890436553e-07
1036800,9.0,1.2048440355288228e+18,1.2048440355288228e+18,nan,nan,7.630417598241611e+20,1.4415463020772975e+21,2.2045880619014585e+21,1495971.199419503,-1.1395875665604337e-11,1.8050939329735253e-05,-0.004233044358189414,0.004600530500126354,-9.296453046114147e-12,3.432198875975387e-08,-1.446752416408597e-06,1.6712652177884195e-06
1152000,10.0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,7.152621152373199e+20,1.4979668857673464e+21,2.2132290010046663e+21,1402297.4636112743,1.9370401409969e-11,1.5934181616488494e-05,-0.0057707154576674535,0.0047349160325848814,-1.0440121250677908e-12,3.48975964093005e-08,-1.8801160434682134e-06,1.6314051820756376e-06
1267200,11.0,1.2048440355288223e+18,1.2048440355288223e+18,nan,nan,5.533138899896978e+20,1.6626091642706801e+21,2.215923054260378e+21,1084792.0615171937,-4.47824678659826e-11,1.2505536568698064e-05,-0.004784253989396833,0.004477434605006833,-4.023723374364026e-12,3.401088906890153e-08,-1.5868066093766964e-06,1.5817204776211332e-06
1382400,12.0,1.2048440355288225e+18,1.2048440355288225e+18,nan,nan,9.09279387072291e+20,1.202121077172203e+21,2.1114004642444938e+21,1782675.4011463663,-3.259890766654971e-11,1.727458285056126e-05,-0.0019969651568314557,0.0027195008852870166,9.350819354514725e-13,3.46466062983482e-08,-7.561831628581285e-07,1.0054833775360508e-06
