iteration,day,state_finite_fraction,nonfinite_state_values,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.0,0,1.2048427093141422e+18,1.2048427093141422e+18,nan,nan,6.657555972745055e+20,1.7733218698319464e+21,2.4390774671064517e+21,1305238.1295679489,1.2889325102767606e-05,0.0002764640944413141,-0.0013380399411878207,0.0013447180792313114,7.256525853217504e-09,1.4034969428822198e-07,-5.919728927164818e-07,7.731680756265147e-07
1440,1.0,1.0,0,1.2048570675459942e+18,1.2048570675459942e+18,nan,nan,3.601904864878088e+20,1.0865386821522328e+21,1.4467291686400415e+21,706166.5854499312,-1.493961248976278e-05,0.00029401372093135577,-0.0021995642460488447,0.0013863693405533136,-6.050337451047591e-09,1.278978474774732e-07,-9.985538983532095e-07,6.366456665641239e-07
2880,2.0,1.0,0,1.2048645491825078e+18,1.2048645491825078e+18,nan,nan,3.346362343179928e+20,1.0572626102149982e+21,1.391898844532991e+21,656066.5420688681,-1.7893383241071327e-05,0.0002820094721170622,-0.0040259751743721055,0.0020337217926049097,-7.699572598424582e-09,1.258993612422986e-07,-1.6845527385006498e-06,9.07208436075127e-07
4320,3.0,1.0,0,1.2048763331268582e+18,1.2048763331268582e+18,nan,nan,3.273341211965085e+20,1.0438247209463423e+21,1.3711588421428508e+21,641750.4829751133,-1.6609496583468478e-05,0.00024321861143835607,-0.0030222705280656334,0.002324752722759956,-6.963344724025405e-09,1.0944448158238288e-07,-1.231050454719457e-06,9.33418531506766e-07
5760,4.0,1.0,0,1.2048903822077284e+18,1.2048903822077284e+18,nan,nan,3.129482845453575e+20,1.0483705237662937e+21,1.361318808311651e+21,613546.5255473605,-8.151569356423863e-06,0.00022456392661540276,-0.001975598840793421,0.001625075071260366,-3.913644312129572e-09,1.0218840269277545e-07,-8.329979111928048e-07,8.036367881726317e-07
7200,5.0,1.0,0,1.2049043611368256e+18,1.2049043611368256e+18,nan,nan,3.1465405859784884e+20,1.0419539167678602e+21,1.3566079753657091e+21,616890.7577894236,8.6761110204045e-06,0.0002328736004905835,-0.002068352528696206,0.0018989038519996904,4.055828671473123e-09,1.0551519408891827e-07,-8.552104843199535e-07,8.472826787597363e-07
8640,6.0,1.0,0,1.204918412464663e+18,1.204918412464663e+18,nan,nan,3.0331468125985014e+20,1.0477986377242136e+21,1.3511133189840636e+21,594659.494954074,-3.8682530175774935e-06,0.00022818688936868087,-0.0020009910299534374,0.001912641339505182,-1.1874771843834997e-09,1.0475501938211179e-07,-9.036365787677078e-07,7.298701872228561e-07
10080,7.0,1.0,0,1.204933668504974e+18,1.204933668504974e+18,nan,nan,3.001389784179413e+20,1.0441461209438059e+21,1.344285099361747e+21,588433.4137098369,-2.2107362272188872e-07,0.00021908333574286915,-0.002151783978679438,0.001942055335839745,1.5701267009427092e-10,1.0302046919963948e-07,-9.111609593375241e-07,8.174705292373458e-07
11520,8.0,1.0,0,1.2049478534396644e+18,1.2049478534396644e+18,nan,nan,3.019983154907185e+20,1.0356797593799557e+21,1.3376780748706742e+21,592078.7118538455,6.865414051900943e-06,0.0002249744083964963,-0.002332994574595087,0.0021895867652516883,2.8404007582480144e-09,1.0347147213519193e-07,-1.0905477589675818e-06,1.030445502872677e-06
12960,9.0,1.0,0,1.2049609390347656e+18,1.2049609390347656e+18,nan,nan,2.9968246837577056e+20,1.0374202965766448e+21,1.3371027649524154e+21,587538.409122551,1.8607762097153526e-06,0.00021690450686212938,-0.002078014138637995,0.0018726513278952426,2.620589973013968e-10,9.947290413249365e-08,-8.266145240832585e-07,7.841615683807426e-07
14400,10.0,1.0,0,1.2049718067433334e+18,1.2049718067433334e+18,nan,nan,2.9659706392957393e+20,1.0364933017908032e+21,1.3330903657203772e+21,581489.3611764264,1.3614443860340911e-05,0.00021833301732885504,-0.0020176629994800004,0.001954067255370576,5.659525669087141e-09,1.0230415683921081e-07,-8.509821301082282e-07,8.706605280669728e-07
15840,11.0,1.0,0,1.2049835424443597e+18,1.2049835424443597e+18,nan,nan,2.887449285202978e+20,1.0432239223048608e+21,1.3319688508251586e+21,566094.9633273131,1.2910704085832104e-05,0.0002070815263819063,-0.0018717854117388448,0.002200430626566406,5.648906824513197e-09,9.660467608720641e-08,-7.548808139635196e-07,9.673821525338259e-07
17280,12.0,1.0,0,1.2050012824449843e+18,1.2050012824449843e+18,nan,nan,2.8304794229588853e+20,1.0460516576750793e+21,1.3290995999709677e+21,554925.8140566741,1.0963133555449194e-05,0.0002168338788417956,-0.002312132801663124,0.0026671884491954625,4.796824911864784e-09,9.948601242531536e-08,-9.840674786129808e-07,1.027345794243807e-06
