iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.645013867373823e+17,0.0,nan,nan,nan,nan,3.894933821198689e+20,0.0,4.577174658442171e+20,0.0,-9.138470153307841e+21,8.47210847964086e+20,0.0,-8.748976771187973e+21,0.0,2.9775072254355284e-06,0.0001359862328951371,-0.0006800928897198489,0.0007554998428120132,5.269711169487525e-10,2.845230887273139e-08,-1.3339756404760153e-07,1.5674628577131968e-07,1084.5133345423349,0.0
2880,1.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.6450138673738227e+17,32.0,nan,nan,nan,nan,2.2999195761340518e+20,-0.4095099732846712,2.9064336031866457e+20,-0.365015796846205,-9.301803911968219e+21,5.2063531793206975e+20,-0.38547137447165936,-9.071811954354814e+21,-0.036899764579327546,9.303872699273502e-06,0.0001458242749904438,-0.0008522743953058655,0.0010308756072208909,1.6498146603990445e-09,2.980618264004755e-08,-1.547154681852658e-07,1.8389425760397539e-07,1204.3497588361354,0.11049787999552034
5760,2.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.6450138673738227e+17,32.0,nan,nan,nan,nan,1.9275643907859284e+20,-0.5051098480043728,3.0803467761671956e+20,-0.32702004925991107,-9.287963999785323e+21,5.007911166953124e+20,-0.40889435268829166,-9.09520756070673e+21,-0.03957386087238914,7.699833308156545e-06,0.00014752374945817357,-0.0008528023652995026,0.0011464545479582602,1.3340676825627968e-09,2.9746621630090538e-08,-1.6877463043564231e-07,1.8261683863901923e-07,1193.624394203242,0.1006083154403556
8640,3.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.645013867373823e+17,0.0,nan,nan,nan,nan,2.1254256413476274e+20,-0.45431020425052693,2.8160278995853872e+20,-0.38476721783131285,-9.3075301337603e+21,4.9414535409330147e+20,-0.41673863680951273,-9.094987569625538e+21,-0.03954871609409733,9.433646152832667e-06,0.00013488096272376926,-0.0008935515780932257,0.00110609205975004,1.6834055290297232e-09,2.8215806834337035e-08,-1.790070700621615e-07,1.819491271636471e-07,1073.948274059425,-0.009741752495250064
11520,4.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.645013867373823e+17,0.0,nan,nan,nan,nan,2.2297091440839728e+20,-0.42753606442592484,2.654180595530507e+20,-0.42012687004741694,-9.324867729203799e+21,4.88388973961448e+20,-0.4235331439215103,-9.101896814795402e+21,-0.04033843646375441,5.039870552138261e-06,0.0001313215378001312,-0.0008980358697494535,0.0013611516844653285,8.997255136376081e-10,2.7934984081771075e-08,-1.7498903253146772e-07,2.1490873008911343e-07,1057.593371381408,-0.024822159676152984
14400,5.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.645013867373823e+17,0.0,nan,nan,nan,nan,2.177632308036067e+20,-0.44090646773405573,2.679937244540056e+20,-0.4144996762146355,-9.32046312885575e+21,4.857569552576123e+20,-0.4266398306573573,-9.102699898052143e+21,-0.04043022814154077,3.781968321271534e-06,0.000126423213293549,-0.0009592000578671593,0.001460634967939785,6.836916067719328e-10,2.7849556914914673e-08,-1.8607112036194905e-07,2.7984128638883117e-07,1050.9438751116247,-0.03095347780567075
17280,6.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.6450138673738234e+17,-32.0,nan,nan,nan,nan,1.7745838466008046e+20,-0.5443866499239605,3.085259429830417e+20,-0.3259467553548685,-9.285259182610553e+21,4.859843276431221e+20,-0.4263714530910688,-9.107800797950472e+21,-0.04101325630948923,1.3539501450665763e-06,0.00012614158226283498,-0.0012797780788583962,0.0012411179618968089,2.527518712081721e-10,2.7989169032686814e-08,-2.487440042340589e-07,2.456917514377545e-07,1054.8322230897236,-0.02736813878377689
20160,7.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.645013867373823e+17,0.0,nan,nan,nan,nan,1.973748630764851e+20,-0.4932523320364355,2.8466815191785102e+20,-0.3780701564603675,-9.309405596582132e+21,4.8204301499433615e+20,-0.4310235567064288,-9.112030733505647e+21,-0.04149673405389301,1.3008953360145689e-06,0.00011324975464671614,-0.0011610541522434439,0.0011376004867429967,2.533451794659137e-10,2.5737085711530243e-08,-2.2217743494169254e-07,2.2763082614848404e-07,889.4628737924407,-0.17985068005844806
23040,8.0,1.0,1.0,1.0,nan,1.0,2.8663762765329567e+18,-1.7862274544753514e-16,2.8663762765329567e+18,-1.7862274544753514e-16,-1.645013867373823e+17,0.0,nan,nan,nan,nan,2.111290107878941e+20,-0.45793941442908037,2.6754916023226388e+20,-0.4154709396138195,-9.321038847140302e+21,4.78678171020158e+20,-0.4349952291445995,-9.109909836352407e+21,-0.04125431745950629,3.750700101989016e-06,0.00010947476157090806,-0.000994253844054217,0.0010506270382768408,6.776421083377204e-10,2.487577896277296e-08,-2.0459737971454451e-07,2.0346478096728738e-07,835.3054514657845,-0.22978775376857513
25920,9.0,1.0,1.0,1.0,nan,1.0,2.866376276532957e+18,0.0,2.866376276532957e+18,0.0,-1.6450138673738234e+17,-32.0,nan,nan,nan,nan,2.0569856262616446e+20,-0.47188175186283526,2.722762675362362e+20,-0.4051433736878533,-9.316288755696677e+21,4.7797483016240064e+20,-0.4358254131058265,-9.110590193070512e+21,-0.041332081606777246,9.507124357135335e-07,0.0001069658898691941,-0.0013131167797987599,0.0010727358934977172,1.7781817291356822e-10,2.44752758206738e-08,-2.1610055670862484e-07,2.084372739531505e-07,811.3081069931532,-0.2519150469131617
