iteration,day,state_finite_fraction,nonfinite_state_values,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,3.924973774830518e+20,4.577174658442171e+20,8.502148433272689e+20,769505.423527172,2.9775072254355284e-06,0.0001359862328951371,-0.0006800928897198489,0.0007554998428120132,5.269711169487525e-10,2.845230887273139e-08,-1.3339756404760153e-07,1.5674628577131968e-07
2880,1.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,2.2984429905333276e+20,2.9064336031866457e+20,5.204876593719973e+20,450618.1310624883,9.303872699273502e-06,0.0001458242749904438,-0.0008522743953058655,0.0010308756072208909,1.6498146603990445e-09,2.980618264004755e-08,-1.547154681852658e-07,1.8389425760397539e-07
5760,2.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,1.9262980366982457e+20,3.0803467761671956e+20,5.0066448128654416e+20,377657.75559431594,7.699833308156545e-06,0.00014752374945817357,-0.0008528023652995026,0.0011464545479582602,1.3340676825627968e-09,2.9746621630090538e-08,-1.6877463043564231e-07,1.8261683863901923e-07
8640,3.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,2.1224703692229067e+20,2.8160278995853872e+20,4.938498268808294e+20,416118.0568558755,9.433646152832667e-06,0.00013488096272376926,-0.0008935515780932257,0.00110609205975004,1.6834055290297232e-09,2.8215806834337035e-08,-1.790070700621615e-07,1.819491271636471e-07
11520,4.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,2.2305058941814745e+20,2.654180595530507e+20,4.8846864897119814e+20,437298.81554586516,5.039870552138261e-06,0.0001313215378001312,-0.0008980358697494535,0.0013611516844653285,8.997255136376081e-10,2.7934984081771075e-08,-1.7498903253146772e-07,2.1490873008911343e-07
14400,5.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,2.1764058444717765e+20,2.679937244540056e+20,4.856343089011833e+20,426692.3034892337,3.781968321271534e-06,0.000126423213293549,-0.0009592000578671593,0.001460634967939785,6.836916067719328e-10,2.7849556914914673e-08,-1.8607112036194905e-07,2.7984128638883117e-07
17280,6.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,1.7749679751229682e+20,3.085259429830417e+20,4.860227404953385e+20,347988.945098912,1.3539501450665763e-06,0.00012614158226283498,-0.0012797780788583962,0.0012411179618968089,2.527518712081721e-10,2.7989169032686814e-08,-2.487440042340589e-07,2.456917514377545e-07
20160,7.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,1.9726895950012527e+20,2.8466815191785102e+20,4.8193711141797626e+20,386752.98979663424,1.3008953360145689e-06,0.00011324975464671614,-0.0011610541522434439,0.0011376004867429967,2.533451794659137e-10,2.5737085711530243e-08,-2.2217743494169254e-07,2.2763082614848404e-07
23040,8.0,1.0,0,2.8663762765329567e+18,2.8663762765329567e+18,nan,nan,2.1121608316060906e+20,2.6754916023226388e+20,4.7876524339287294e+20,414096.8344056593,3.750700101989016e-06,0.00010947476157090806,-0.000994253844054217,0.0010506270382768408,6.776421083377204e-10,2.487577896277296e-08,-2.0459737971454451e-07,2.0346478096728738e-07
25920,9.0,1.0,0,2.866376276532957e+18,2.866376276532957e+18,nan,nan,2.0565839295558464e+20,2.722762675362362e+20,4.7793466049182086e+20,403200.7800613604,9.507124357135335e-07,0.0001069658898691941,-0.0013131167797987599,0.0010727358934977172,1.7781817291356822e-10,2.44752758206738e-08,-2.1610055670862484e-07,2.084372739531505e-07
