iter,residual
1,1.47654279619969E+08
2,2.53685137025107E+08
3,3.12815047747425E+08
4,2.97591513047992E+08
5,2.84440983716565E+08
6,3.11544086432837E+08
7,3.40756618127517E+08
8,4.23001164735278E+08
9,4.84747977176661E+08
10,4.08138737003629E+08
11,3.55627297888099E+08
12,4.18906928127501E+08
13,5.19368373950679E+08
14,4.71252814508023E+08
15,3.93789810894684E+08
16,4.17929644574672E+08
17,5.30603543757908E+08
18,6.61884539682455E+08
19,6.86048190171090E+08
20,5.49408889615402E+08
21,4.39124884532874E+08
22,4.34754000122354E+08
23,5.22055376528854E+08
24,6.22885492018235E+08
25,6.48237432328182E+08
26,5.74875854132836E+08
27,4.85617078020601E+08
28,4.68077501431174E+08
29,5.26918767086266E+08
30,6.20445860739625E+08
31,6.73109528811383E+08
32,6.32611747789026E+08
33,5.53718542408513E+08
34,5.31214019047027E+08
35,5.89848972103340E+08
36,6.67935449892395E+08
37,6.76291456679140E+08
38,6.00808054066566E+08
39,5.39186776729436E+08
40,5.68505395381352E+08
41,6.40574682352606E+08
42,6.48645900689942E+08
43,5.75551812027867E+08
44,5.01436464758536E+08
45,4.83135044328915E+08
46,5.31467229135533E+08
47,6.25645988541263E+08
48,7.10498550725014E+08
49,7.20685820938468E+08
50,6.62066629973572E+08
51,6.21841911135412E+08
52,6.56925216793727E+08
53,7.41892957070308E+08
54,8.17989153924213E+08
55,8.30263795295117E+08
56,7.71428368469396E+08
57,7.07811809434177E+08
58,7.08054369024512E+08
59,7.58147203134526E+08
60,7.73897214872160E+08
61,7.40397152609832E+08
62,7.55238519750439E+08
63,7.79219316230784E+08
64,7.40375190686812E+08
65,6.86968146985655E+08
66,6.90678259051868E+08
67,7.41806841005578E+08
68,7.72013082427423E+08
69,7.41275888735500E+08
70,6.73151171286479E+08
71,6.34209861978395E+08
72,6.53509813381891E+08
73,7.02124134260727E+08
74,7.17594149501039E+08
75,6.76825209682393E+08
76,6.25987996751885E+08
77,6.25770687412144E+08
78,6.63389253482231E+08
79,6.66214881623555E+08
80,6.43556260802660E+08
81,6.68536786961838E+08
82,7.19209530695577E+08
83,7.35417197435087E+08
84,6.96855547578479E+08
85,6.40255909323650E+08
86,6.19194068383764E+08
87,6.50088693719883E+08
88,7.04842224453882E+08
89,7.34237615065627E+08
90,7.08474883724047E+08
91,6.47683989923121E+08
92,6.06047360364380E+08
93,6.13415902342150E+08
94,6.51601088043647E+08
95,6.77641615498848E+08
96,6.61190164696607E+08
97,6.13991389273357E+08
98,5.80906005932876E+08
99,5.94369855437541E+08
100,6.39871354456975E+08
101,6.74289522135116E+08
102,6.65191137435235E+08
103,6.25189141632507E+08
104,6.03634226199287E+08
105,6.26099394613006E+08
106,6.65564302857724E+08
107,6.80618085557231E+08
108,6.52252286930211E+08
109,6.01402409683642E+08
110,5.73264779550144E+08
111,5.92834001570160E+08
112,6.23913305180716E+08
113,6.15145443701351E+08
114,6.08491963939976E+08
115,6.37767770313427E+08
116,6.40708237397050E+08
117,5.99743593266953E+08
118,5.51802153255840E+08
119,5.41299487817290E+08
120,5.72926138162192E+08
121,6.04231176196705E+08
122,5.91654538795795E+08
123,5.44094757108637E+08
124,5.07646900430781E+08
125,5.17280418587701E+08
126,5.65756745796120E+08
127,6.16845051265285E+08
128,6.31955992107653E+08
129,5.98276658360461E+08
130,5.45324467660938E+08
131,5.16889482202612E+08
132,5.35711342301224E+08
133,5.75736847536338E+08
134,5.83165750658113E+08
135,5.60365095381740E+08
136,5.69753169016638E+08
137,5.97794541067024E+08
138,5.86593445358930E+08
139,5.44767194204888E+08
140,5.25246416469832E+08
141,5.49698928990519E+08
142,5.89215197135786E+08
143,5.99372527424222E+08
144,5.66037862010190E+08
145,5.28288829431856E+08
146,5.26301506136078E+08
147,5.57995601785983E+08
148,5.77345849260057E+08
149,5.56607917032498E+08
150,5.29382501098992E+08
151,5.38933860581887E+08
152,5.72193568941147E+08
153,5.87265195930664E+08
154,5.65747696533537E+08
155,5.32934119627176E+08
156,5.24807908002634E+08
157,5.49210773094366E+08
158,5.84392263241176E+08
159,5.99170779932754E+08
160,5.79620765626265E+08
161,5.56862187479650E+08
162,5.66447528042840E+08
163,5.67612447063942E+08
164,5.46012874110823E+08
165,5.45381408388434E+08
166,5.70881126350444E+08
167,5.97699609696835E+08
168,5.98506174626574E+08
169,5.75224188615965E+08
170,5.66818040911012E+08
171,5.86834206116967E+08
172,5.99187162510983E+08
173,5.80959657999334E+08
174,5.44562235878463E+08
175,5.20485207069204E+08
176,5.27594453266865E+08
177,5.59262557164170E+08
178,5.91056704890984E+08
179,5.96423385130635E+08
180,5.71975510690654E+08
181,5.43130504836563E+08
182,5.37900556320215E+08
183,5.58739310200598E+08
184,5.87081803725999E+08
185,6.00294457853723E+08
186,5.87094763366414E+08
187,5.61419594920174E+08
188,5.49440834990717E+08
189,5.64365147212236E+08
190,5.92651997397587E+08
191,6.08436949828879E+08
192,5.97352700696577E+08
193,5.73509453071197E+08
194,5.65362446062803E+08
195,5.76211400742614E+08
196,5.75163858269540E+08
197,5.63704584478840E+08
198,5.71641054288494E+08
199,5.97466950858062E+08
200,6.21612598872338E+08
201,6.26083062753718E+08
202,6.09671637400494E+08
203,5.90836866916159E+08
204,5.91121959138918E+08
205,6.03624089422493E+08
206,6.00028269548612E+08
207,5.97023251312802E+08
208,6.13965126327144E+08
209,6.30129636709022E+08
210,6.27330842922686E+08
211,6.08448008487792E+08
212,5.92936280956695E+08
213,5.96663581325768E+08
214,6.17509701022988E+08
215,6.38900950275771E+08
216,6.43789927855153E+08
217,6.28811668905938E+08
218,6.09408600693106E+08
219,6.06248203856788E+08
220,6.19901779817077E+08
221,6.32159579697982E+08
222,6.28684976785750E+08
223,6.14815821911936E+08
224,6.09665820705386E+08
225,6.19607305578337E+08
226,6.31172149172547E+08
227,6.27786316705156E+08
228,6.09920918853255E+08
229,5.93148716566871E+08
230,5.92822591904459E+08
231,6.06094441326460E+08
232,6.15503873918584E+08
233,6.08082653357585E+08
234,5.88352917403511E+08
235,5.74948082989262E+08
236,5.79209725846041E+08
237,5.96730770278860E+08
238,6.11177123101037E+08
239,6.09514800086213E+08
240,5.89986585896276E+08
241,5.64897867971256E+08
242,5.51864732391645E+08
243,5.58516639969608E+08
244,5.71687941142652E+08
245,5.69855669512219E+08
246,5.66053771462424E+08
247,5.76830326915206E+08
248,5.78900900884995E+08
249,5.64500635143705E+08
250,5.53110635087423E+08
251,5.59570411060401E+08
252,5.73398419520707E+08
253,5.72498741882918E+08
254,5.52679283089588E+08
255,5.29405224996489E+08
256,5.22897847362459E+08
257,5.32661181187388E+08
258,5.34607388556713E+08
259,5.27099845310645E+08
260,5.35042228425515E+08
261,5.54874666103578E+08
262,5.63732778129384E+08
263,5.52553235149908E+08
264,5.38254009202972E+08
265,5.42786415449532E+08
266,5.54596962620171E+08
267,5.48576706184100E+08
268,5.26095674968049E+08
269,5.06497995278296E+08
270,5.04648062004355E+08
271,5.22397465774853E+08
272,5.49010757939308E+08
273,5.68283281477772E+08
274,5.67807999558922E+08
275,5.48221496140093E+08
276,5.27403438242002E+08
277,5.24718352353367E+08
278,5.36602414955426E+08
279,5.38978505184250E+08
280,5.26899965995901E+08
281,5.21535190908317E+08
282,5.37332739672260E+08
283,5.62478968447426E+08
284,5.76103186030702E+08
285,5.67902728740689E+08
286,5.44206628221871E+08
287,5.23620126455464E+08
288,5.22209059755034E+08
289,5.37897225134985E+08
290,5.45302792774852E+08
291,5.40978735005287E+08
292,5.53471941299738E+08
293,5.74158583771051E+08
294,5.84285636308732E+08
295,5.75407382621826E+08
296,5.52418541004947E+08
297,5.30420256474861E+08
298,5.26433149642766E+08
299,5.44691892099559E+08
300,5.71727128354345E+08
301,5.88076378384463E+08
302,5.81985280731301E+08
303,5.58408949181181E+08
304,5.36030609842720E+08
305,5.33324920201612E+08
306,5.52176383172768E+08
307,5.76764152049576E+08
308,5.89858073624232E+08
309,5.81954604893229E+08
310,5.56913414006009E+08
311,5.29126663245883E+08
312,5.17474647330367E+08
313,5.27081036909222E+08
314,5.33264599206523E+08
315,5.24926507756031E+08
316,5.30522275558721E+08
317,5.54465045768333E+08
318,5.70811630805042E+08
319,5.61795277578458E+08
320,5.37228372978275E+08
321,5.22953396697780E+08
322,5.31987700441562E+08
323,5.48563301631909E+08
324,5.48176362937888E+08
325,5.27951808954647E+08
326,5.10667797847400E+08
327,5.16627309342849E+08
328,5.41135450999209E+08
329,5.61402003372668E+08
330,5.58913477091911E+08
331,5.45627517030917E+08
332,5.51303396018807E+08
333,5.49565358675500E+08
334,5.25193969220641E+08
335,5.01444426363733E+08
336,4.99175240519481E+08
337,5.19059128971317E+08
338,5.43939184053669E+08
339,5.53166150740702E+08
340,5.40034891050716E+08
341,5.21929754513491E+08
