iter,residual
1,3.38719708082209E+12
2,1.83785727616158E+12
3,3.60789364577278E+12
4,1.78870290720771E+12
5,2.75369399145081E+12
6,1.44668923757623E+12
7,2.47625474647391E+12
8,1.40724044637367E+12
9,2.67969626750694E+12
10,1.20967970929624E+12
11,1.33596624863251E+13
12,1.36621675137324E+12
13,5.44097333974816E+12
14,1.15982436953180E+12
15,6.57767314388752E+12
16,1.12084834435769E+12
17,1.06976683658547E+13
18,1.18376612330790E+12
19,1.94211752870959E+13
20,1.09697835096007E+12
21,3.75361572095348E+12
22,1.15434866266038E+12
23,3.05447832937133E+12
24,1.05911774406278E+12
25,6.49609317726850E+12
26,1.27401198835530E+12
27,1.81399469039051E+12
28,1.30893285393894E+12
29,2.07970743691452E+12
30,1.28269997677668E+12
31,2.47757036152525E+12
32,1.41495478433933E+12
33,1.91535052785675E+12
34,1.34902751375874E+12
35,2.04690083735174E+12
36,1.19946168808690E+12
37,1.68162536389301E+12
38,1.36036751915012E+12
39,1.53755987151274E+12
40,1.47743647854823E+12
41,1.26339193253455E+12
42,1.82146297011924E+12
43,1.09141789387547E+12
44,2.05700727948123E+12
45,1.12125974319639E+12
46,2.26057973084146E+12
47,1.09374958050663E+12
48,4.29420197543563E+12
49,1.05096630978547E+12
50,4.77109901296780E+12
51,1.32835952953686E+12
52,5.59496326264557E+12
53,9.73754295309014E+11
54,3.98377657294096E+13
55,1.06856331222656E+12
56,7.82977656893558E+13
57,1.30974605893559E+12
58,1.87153593027148E+12
59,1.27410321592931E+12
60,2.60948392120180E+12
61,1.00305205596702E+12
62,5.14309234036273E+12
63,1.04790969947585E+12
64,6.78836393071286E+12
65,1.01879976625509E+12
66,5.18168312904577E+13
67,1.41010437967329E+12
68,1.59476341724544E+12
69,1.85906210927519E+12
70,1.23067895306638E+12
71,3.64169787225454E+12
72,1.20223926196266E+12
73,5.63285601237785E+12
74,1.23581475411885E+12
75,3.88231363974088E+12
76,1.05932912039086E+12
77,4.24271897891894E+12
78,1.31259208062901E+12
79,1.66198150360922E+12
80,1.26012783645089E+12
81,3.49635044872154E+12
82,1.40016712365300E+12
83,1.33911991305435E+12
84,1.65509287039383E+12
85,2.05257803448856E+12
86,1.11888015524223E+12
87,2.74084616069890E+12
88,1.15042041500661E+12
89,6.05467626946188E+12
90,1.01904731401983E+12
91,4.89461205001128E+12
92,1.13603498744681E+12
93,2.00307398032801E+12
94,2.06782672201739E+12
95,1.82065634654041E+12
96,1.31424378805003E+12
97,3.61189646110705E+12
98,1.03926084958280E+12
99,6.05152648522509E+13
100,9.89243731955655E+11
