iter,residual
1,1.33787621252612E+07
2,6.97556929418072E+06
3,6.25766520858680E+06
4,5.71985174445291E+06
5,5.41665352284263E+07
6,5.03725471543896E+07
7,1.08395586911019E+07
8,6.46388725568668E+06
9,1.00734809994404E+07
10,2.50989159805913E+07
11,4.79046204632537E+07
12,4.60306008460869E+07
13,2.37169508584732E+07
14,1.18795310649314E+07
15,7.61556630425958E+06
16,6.46755177825363E+06
17,7.79199702016135E+06
18,1.22153006457655E+07
19,1.82135593074393E+07
20,2.77063811715202E+07
21,2.77582711613487E+07
22,2.15503246647025E+07
23,1.39601452583219E+07
24,1.02736946430543E+07
25,7.64177211630286E+06
26,7.28180081851657E+06
27,8.09041987975250E+06
28,1.02488172154462E+07
29,1.44563326806072E+07
30,1.89722199063470E+07
31,2.36451609367766E+07
32,2.33803265242948E+07
33,2.18087191537449E+07
34,1.70227882011935E+07
35,1.26470567308360E+07
36,9.72905365125842E+06
37,8.60046069287109E+06
38,7.73886652409232E+06
39,7.88561338923859E+06
40,9.06803469137002E+06
41,1.11144444863384E+07
42,1.39590378335020E+07
43,1.70772084377756E+07
44,1.93733989476319E+07
45,1.98381344491762E+07
46,1.98474239556211E+07
47,1.77957517590931E+07
48,1.50506997987929E+07
49,1.28153451798427E+07
50,1.14610979837942E+07
51,1.00281216518202E+07
52,1.01493750984036E+07
53,9.84862745447149E+06
54,1.10946763497922E+07
55,1.27046894636311E+07
56,1.33926989515362E+07
57,1.57634213647353E+07
58,1.71517764346358E+07
59,1.89073442796964E+07
60,1.83821713901906E+07
61,1.70658451484725E+07
62,1.37390882597013E+07
63,1.10275449077939E+07
64,9.67806905581839E+06
65,9.11512809605498E+06
66,9.12815493918183E+06
67,8.60308937068718E+06
68,8.86662538392758E+06
69,9.47679577714210E+06
70,1.07640333476791E+07
71,1.21102663012742E+07
72,1.33128796263008E+07
73,1.44373298057087E+07
74,1.53081939270730E+07
75,1.44646471767086E+07
76,1.29699247649625E+07
77,1.10703149840322E+07
78,9.97112612836980E+06
79,9.25003917331159E+06
80,8.16334749347042E+06
81,7.83912470432171E+06
82,8.02551807454961E+06
83,8.58230017522134E+06
84,9.19165807437558E+06
85,9.21380160529947E+06
86,1.01507411117467E+07
87,1.08268668866192E+07
88,1.20010311714148E+07
89,1.16960149354152E+07
90,1.15534840157479E+07
91,1.02501289352312E+07
92,9.78853057613209E+06
93,9.02429072831720E+06
94,8.71164387823353E+06
95,8.32682703650802E+06
96,8.52905912681706E+06
97,8.51666067947085E+06
98,9.11958780400174E+06
99,9.87982345290789E+06
100,1.01270791926742E+07
101,1.06987964491122E+07
102,1.13423276481075E+07
103,1.16783183724619E+07
104,1.20954787792284E+07
105,1.14223124185676E+07
106,1.10418917016073E+07
107,1.00830448959848E+07
108,9.74636759600580E+06
109,8.77624585501653E+06
110,8.54970442080360E+06
111,8.30642492281215E+06
112,7.96663497644902E+06
113,8.14367635857283E+06
114,8.25693016602910E+06
115,8.45911688917976E+06
116,8.56074793706695E+06
117,9.13172199348712E+06
118,9.83273431449921E+06
119,1.04693639433509E+07
120,1.05629703871560E+07
121,1.01240003966324E+07
122,9.73167243877891E+06
123,9.58884910138423E+06
124,9.10103924122651E+06
125,8.36910489702020E+06
126,8.00207120632390E+06
127,8.12594400282134E+06
128,7.98061639917230E+06
129,8.02431782544061E+06
130,8.18839611751587E+06
131,8.40204247180730E+06
132,8.71687507090553E+06
133,9.34107259589606E+06
134,9.78715328635446E+06
135,9.86989225422437E+06
136,9.63466116743759E+06
137,9.71549405036510E+06
138,9.51998712799972E+06
139,9.40596322354227E+06
140,9.47045290694449E+06
141,8.91636746415161E+06
142,9.09031101121824E+06
143,8.99085627948441E+06
144,9.30671996772166E+06
145,9.07081009147280E+06
146,9.31701855731497E+06
147,8.99061128776320E+06
148,9.39915135887778E+06
149,9.80350217050334E+06
150,1.00694760989023E+07
151,1.03276346507285E+07
152,1.02854482485247E+07
153,9.80912016233063E+06
154,8.80411964614674E+06
155,8.63517708309391E+06
156,8.74040743217021E+06
157,8.21890332805525E+06
158,8.21556688508932E+06
159,8.63446708620751E+06
160,8.38967534253086E+06
161,8.63867491532665E+06
162,8.82169936103365E+06
163,8.46549133995205E+06
164,8.88791347061803E+06
165,9.17560053651290E+06
166,9.41417277984450E+06
167,1.04415418654508E+07
168,9.95490536859656E+06
169,9.88649751675279E+06
170,9.52509481701463E+06
171,9.14023584831694E+06
172,8.72916720145183E+06
173,8.29415575890637E+06
174,8.43469614188966E+06
175,8.28322850085624E+06
176,8.50918060333464E+06
177,8.38657629090415E+06
178,8.34362617463792E+06
179,8.52206455040414E+06
180,8.72600617239216E+06
181,9.03260936583669E+06
182,8.94334752738857E+06
183,9.10004566729238E+06
184,8.62959044276157E+06
185,8.68013181583487E+06
186,8.36872137955668E+06
187,8.05907750942485E+06
188,7.98960482870312E+06
189,7.91998524458593E+06
190,7.62224482645908E+06
191,7.62441193332266E+06
192,7.34346520706492E+06
193,7.24189293009353E+06
194,7.34084967855515E+06
