iter,residual
1,3.38808567835069E+12
2,1.83781638796195E+12
3,3.60904281286073E+12
4,1.78868791037783E+12
5,2.75439914848200E+12
6,1.44670907380951E+12
7,2.47684289543693E+12
8,1.40727337662445E+12
9,2.68034526248040E+12
10,1.20972428248897E+12
11,1.33728142954348E+13
12,1.36628981532007E+12
13,5.44307438654182E+12
14,1.15987984509395E+12
15,6.58077856436611E+12
16,1.12089810032460E+12
17,1.07050645136479E+13
18,1.18383156042183E+12
19,1.93977623102222E+13
20,1.09704874148542E+12
21,3.75292261511892E+12
22,1.15444017897796E+12
23,3.05403708012187E+12
24,1.05919012106494E+12
25,6.49344358542289E+12
26,1.27412971386422E+12
27,1.81393766276939E+12
28,1.30908164795367E+12
29,2.07965189631627E+12
30,1.28282554992971E+12
31,2.47731929387733E+12
32,1.41512720399675E+12
33,1.91526453160710E+12
34,1.34918361072222E+12
35,2.04686011721987E+12
36,1.19960589156823E+12
37,1.68158937575416E+12
38,1.36057053517856E+12
39,1.53758253862684E+12
40,1.47764219060121E+12
41,1.26345752456179E+12
42,1.82166555177024E+12
43,1.09151582932989E+12
44,2.05709423309165E+12
45,1.12144594582860E+12
46,2.27623146183192E+12
47,1.09764449448492E+12
48,1.77697296167774E+13
49,1.15058497233968E+12
50,2.10615889248455E+12
51,1.22877015049855E+12
52,1.38261580641054E+13
53,9.68556969984064E+11
54,4.11749222103953E+13
55,1.06395531642923E+12
56,1.61705101411576E+13
57,1.27760949481428E+12
58,1.74888573297074E+12
59,1.27209461525046E+12
60,2.59757632313005E+12
61,1.00032095110134E+12
62,5.08762267438101E+12
63,1.04805389668835E+12
64,1.08301066210656E+13
65,1.10923676679505E+12
66,1.84965075708972E+12
67,1.40575891030785E+12
68,1.42796937583788E+12
69,2.26678949086068E+12
70,1.24322265038439E+12
71,6.33075438479647E+12
72,1.35983645983564E+12
73,1.02163217465107E+13
74,1.30035535457013E+12
75,5.34752687023362E+12
76,1.12347247198286E+12
77,3.03022134188426E+12
78,1.09040829658445E+12
79,2.01189552082303E+13
80,1.20545441659085E+12
81,1.74097216182184E+12
82,1.49718569331724E+12
83,1.25077825678628E+12
84,1.72425734502178E+12
85,1.35991581539308E+12
86,1.48278656232034E+12
87,2.60937161580186E+12
88,1.98502553931485E+12
89,1.21306042618495E+12
90,2.15748454672644E+12
91,2.25745610972328E+12
92,1.02862298848956E+12
93,2.85817624143949E+12
94,1.03324286410919E+12
95,3.34988500685266E+12
96,9.55319009513029E+11
