Williamson TC1 error table
error = MITgcm - exact

   day           L1           L2         Linf      RMSE[m]         mass
  0.00  2.05631e-08  2.34395e-08  3.04677e-08  1.61962e-06 -3.64766e-10
  1.00  2.00000e+00  1.41420e+00  1.00000e+00  9.77183e+01  4.47072e-10
  2.00  2.00000e+00  1.41418e+00  1.00000e+00  9.77169e+01  3.76822e-09
  3.00  2.00000e+00  1.41414e+00  1.00000e+00  9.77140e+01  1.06523e-08
  4.00  2.00000e+00  1.41417e+00  1.00000e+00  9.77156e+01  3.76966e-09
  5.00  2.00000e+00  1.41417e+00  1.00000e+00  9.77157e+01  4.47518e-10
  6.00  4.02808e-04  6.40868e-04  2.01644e-03  4.42825e-02 -3.64881e-10
  7.00  2.00000e+00  1.41415e+00  1.00000e+00  9.77145e+01  4.46596e-10
  8.00  2.00000e+00  1.41413e+00  1.00000e+00  9.77132e+01  3.76801e-09
  9.00  2.00000e+00  1.41409e+00  1.00000e+00  9.77102e+01  1.06520e-08
 10.00  2.00000e+00  1.41411e+00  1.00000e+00  9.77118e+01  3.76986e-09
 11.00  2.00000e+00  1.41411e+00  1.00000e+00  9.77120e+01  4.47453e-10
 12.00  6.70437e-04  8.68594e-04  2.79675e-03  6.00179e-02 -3.65123e-10
