Williamson TC2 error table
error = MITgcm - exact

   day           L1           L2         Linf      RMSE[m]         mass
  0.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  1.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  2.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  3.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  4.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  5.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  6.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  7.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  8.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
  9.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
 10.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
 11.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
 12.00  4.47507e+00  1.04170e+00  9.69994e-01  7.19794e+01  2.64769e+00
